"","pollster","date","start","end","respondents","party","percent","votes","state"
"296","infratestdimap",2016-11-22,2016-11-22,2016-11-22,1000,"spd",15,150,"sachsen-anhalt"
"297","infratestdimap",2016-11-22,2016-11-22,2016-11-22,1000,"greens",5,50,"sachsen-anhalt"
"298","infratestdimap",2016-11-22,2016-11-22,2016-11-22,1000,"left",18,180,"sachsen-anhalt"
"299","infratestdimap",2016-11-22,2016-11-22,2016-11-22,1000,"afd",22,220,"sachsen-anhalt"
"300","infratestdimap",2016-11-22,2016-11-22,2016-11-22,1000,"others",7,70,"sachsen-anhalt"
"301","fgw",2016-03-10,2016-03-10,2016-03-10,1096,"cdu",32,350.72,"sachsen-anhalt"
"302","fgw",2016-03-10,2016-03-10,2016-03-10,1096,"spd",14,153.44,"sachsen-anhalt"
"303","fgw",2016-03-10,2016-03-10,2016-03-10,1096,"greens",5,54.8,"sachsen-anhalt"
"304","fgw",2016-03-10,2016-03-10,2016-03-10,1096,"fdp",4.5,49.32,"sachsen-anhalt"
"305","fgw",2016-03-10,2016-03-10,2016-03-10,1096,"left",21,230.16,"sachsen-anhalt"
"306","fgw",2016-03-10,2016-03-10,2016-03-10,1096,"afd",18,197.28,"sachsen-anhalt"
"307","fgw",2016-03-10,2016-03-10,2016-03-10,1096,"others",5.5,60.28,"sachsen-anhalt"
"308","forsa",2016-03-09,2016-03-09,2016-03-09,1001,"cdu",30,300.3,"sachsen-anhalt"
"309","forsa",2016-03-09,2016-03-09,2016-03-09,1001,"spd",17,170.17,"sachsen-anhalt"
"310","forsa",2016-03-09,2016-03-09,2016-03-09,1001,"greens",5,50.05,"sachsen-anhalt"
"311","forsa",2016-03-09,2016-03-09,2016-03-09,1001,"fdp",5,50.05,"sachsen-anhalt"
"312","forsa",2016-03-09,2016-03-09,2016-03-09,1001,"left",20,200.2,"sachsen-anhalt"
"313","forsa",2016-03-09,2016-03-09,2016-03-09,1001,"afd",18,180.18,"sachsen-anhalt"
"314","forsa",2016-03-09,2016-03-09,2016-03-09,1001,"others",5,50.05,"sachsen-anhalt"
"315","insa",2016-03-07,2016-03-07,2016-03-07,1000,"cdu",29,290,"sachsen-anhalt"
"316","insa",2016-03-07,2016-03-07,2016-03-07,1000,"spd",15.5,155,"sachsen-anhalt"
"317","insa",2016-03-07,2016-03-07,2016-03-07,1000,"greens",6,60,"sachsen-anhalt"
"318","insa",2016-03-07,2016-03-07,2016-03-07,1000,"fdp",4,40,"sachsen-anhalt"
"319","insa",2016-03-07,2016-03-07,2016-03-07,1000,"left",20,200,"sachsen-anhalt"
"320","insa",2016-03-07,2016-03-07,2016-03-07,1000,"afd",19,190,"sachsen-anhalt"
"321","insa",2016-03-07,2016-03-07,2016-03-07,1000,"others",6.5,65,"sachsen-anhalt"
"322","uniqma",2016-03-05,2016-03-05,2016-03-05,1008,"cdu",30,302.4,"sachsen-anhalt"
"323","uniqma",2016-03-05,2016-03-05,2016-03-05,1008,"spd",18,181.44,"sachsen-anhalt"
"324","uniqma",2016-03-05,2016-03-05,2016-03-05,1008,"greens",5,50.4,"sachsen-anhalt"
"325","uniqma",2016-03-05,2016-03-05,2016-03-05,1008,"fdp",4,40.32,"sachsen-anhalt"
"326","uniqma",2016-03-05,2016-03-05,2016-03-05,1008,"left",19,191.52,"sachsen-anhalt"
"327","uniqma",2016-03-05,2016-03-05,2016-03-05,1008,"afd",17,171.36,"sachsen-anhalt"
"328","uniqma",2016-03-05,2016-03-05,2016-03-05,1008,"others",7,70.56,"sachsen-anhalt"
"329","fgw",2016-03-04,2016-03-04,2016-03-04,1027,"cdu",32,328.64,"sachsen-anhalt"
"330","fgw",2016-03-04,2016-03-04,2016-03-04,1027,"spd",15,154.05,"sachsen-anhalt"
"331","fgw",2016-03-04,2016-03-04,2016-03-04,1027,"greens",5,51.35,"sachsen-anhalt"
"332","fgw",2016-03-04,2016-03-04,2016-03-04,1027,"fdp",4,41.08,"sachsen-anhalt"
"333","fgw",2016-03-04,2016-03-04,2016-03-04,1027,"left",20,205.4,"sachsen-anhalt"
"334","fgw",2016-03-04,2016-03-04,2016-03-04,1027,"afd",17,174.59,"sachsen-anhalt"
"335","fgw",2016-03-04,2016-03-04,2016-03-04,1027,"others",7,71.89,"sachsen-anhalt"
"336","infratestdimap",2016-03-03,2016-03-03,2016-03-03,1001,"cdu",31,310.31,"sachsen-anhalt"
"337","infratestdimap",2016-03-03,2016-03-03,2016-03-03,1001,"spd",15,150.15,"sachsen-anhalt"
"338","infratestdimap",2016-03-03,2016-03-03,2016-03-03,1001,"greens",5.5,55.055,"sachsen-anhalt"
"339","infratestdimap",2016-03-03,2016-03-03,2016-03-03,1001,"fdp",4.5,45.045,"sachsen-anhalt"
"340","infratestdimap",2016-03-03,2016-03-03,2016-03-03,1001,"left",21,210.21,"sachsen-anhalt"
"341","infratestdimap",2016-03-03,2016-03-03,2016-03-03,1001,"afd",19,190.19,"sachsen-anhalt"
"342","infratestdimap",2016-03-03,2016-03-03,2016-03-03,1001,"others",4,40.04,"sachsen-anhalt"
"343","insa",2016-02-28,2016-02-28,2016-02-28,1001,"cdu",29.5,295.295,"sachsen-anhalt"
"344","insa",2016-02-28,2016-02-28,2016-02-28,1001,"spd",17,170.17,"sachsen-anhalt"
"345","insa",2016-02-28,2016-02-28,2016-02-28,1001,"greens",5,50.05,"sachsen-anhalt"
"346","insa",2016-02-28,2016-02-28,2016-02-28,1001,"fdp",5,50.05,"sachsen-anhalt"
"347","insa",2016-02-28,2016-02-28,2016-02-28,1001,"left",20,200.2,"sachsen-anhalt"
"348","insa",2016-02-28,2016-02-28,2016-02-28,1001,"afd",17,170.17,"sachsen-anhalt"
"349","insa",2016-02-28,2016-02-28,2016-02-28,1001,"others",6.5,65.065,"sachsen-anhalt"
"350","insa",2016-02-22,2016-02-22,2016-02-22,1000,"cdu",30,300,"sachsen-anhalt"
"351","insa",2016-02-22,2016-02-22,2016-02-22,1000,"spd",16,160,"sachsen-anhalt"
"352","insa",2016-02-22,2016-02-22,2016-02-22,1000,"greens",5,50,"sachsen-anhalt"
"353","insa",2016-02-22,2016-02-22,2016-02-22,1000,"fdp",4,40,"sachsen-anhalt"
"354","insa",2016-02-22,2016-02-22,2016-02-22,1000,"left",21,210,"sachsen-anhalt"
"355","insa",2016-02-22,2016-02-22,2016-02-22,1000,"afd",17,170,"sachsen-anhalt"
"356","insa",2016-02-22,2016-02-22,2016-02-22,1000,"others",7,70,"sachsen-anhalt"
"357","infratestdimap",2016-02-17,2016-02-17,2016-02-17,1001,"cdu",32,320.32,"sachsen-anhalt"
"358","infratestdimap",2016-02-17,2016-02-17,2016-02-17,1001,"spd",18,180.18,"sachsen-anhalt"
"359","infratestdimap",2016-02-17,2016-02-17,2016-02-17,1001,"greens",5,50.05,"sachsen-anhalt"
"360","infratestdimap",2016-02-17,2016-02-17,2016-02-17,1001,"fdp",4,40.04,"sachsen-anhalt"
"361","infratestdimap",2016-02-17,2016-02-17,2016-02-17,1001,"left",20,200.2,"sachsen-anhalt"
"362","infratestdimap",2016-02-17,2016-02-17,2016-02-17,1001,"afd",17,170.17,"sachsen-anhalt"
"363","infratestdimap",2016-02-17,2016-02-17,2016-02-17,1001,"others",4,40.04,"sachsen-anhalt"
"364","fgw",2016-01-14,2016-01-14,2016-01-14,1003,"cdu",33,330.99,"sachsen-anhalt"
"365","fgw",2016-01-14,2016-01-14,2016-01-14,1003,"spd",19,190.57,"sachsen-anhalt"
"366","fgw",2016-01-14,2016-01-14,2016-01-14,1003,"greens",5,50.15,"sachsen-anhalt"
"367","fgw",2016-01-14,2016-01-14,2016-01-14,1003,"fdp",3,30.09,"sachsen-anhalt"
"368","fgw",2016-01-14,2016-01-14,2016-01-14,1003,"left",19,190.57,"sachsen-anhalt"
"369","fgw",2016-01-14,2016-01-14,2016-01-14,1003,"afd",15,150.45,"sachsen-anhalt"
"370","fgw",2016-01-14,2016-01-14,2016-01-14,1003,"others",6,60.18,"sachsen-anhalt"
"371","insa",2015-12-05,2015-12-05,2015-12-05,1004,"cdu",35,351.4,"sachsen-anhalt"
"372","insa",2015-12-05,2015-12-05,2015-12-05,1004,"spd",15.5,155.62,"sachsen-anhalt"
"373","insa",2015-12-05,2015-12-05,2015-12-05,1004,"greens",6,60.24,"sachsen-anhalt"
"374","insa",2015-12-05,2015-12-05,2015-12-05,1004,"fdp",3,30.12,"sachsen-anhalt"
"375","insa",2015-12-05,2015-12-05,2015-12-05,1004,"left",23,230.92,"sachsen-anhalt"
"376","insa",2015-12-05,2015-12-05,2015-12-05,1004,"afd",13.5,135.54,"sachsen-anhalt"
"377","insa",2015-12-05,2015-12-05,2015-12-05,1004,"others",4,40.16,"sachsen-anhalt"
"378","infratestdimap",2015-09-14,2015-09-14,2015-09-14,1001,"cdu",34,340.34,"sachsen-anhalt"
"379","infratestdimap",2015-09-14,2015-09-14,2015-09-14,1001,"spd",21,210.21,"sachsen-anhalt"
"380","infratestdimap",2015-09-14,2015-09-14,2015-09-14,1001,"greens",7,70.07,"sachsen-anhalt"
"381","infratestdimap",2015-09-14,2015-09-14,2015-09-14,1001,"left",26,260.26,"sachsen-anhalt"
"382","infratestdimap",2015-09-14,2015-09-14,2015-09-14,1001,"afd",5,50.05,"sachsen-anhalt"
"383","infratestdimap",2015-09-14,2015-09-14,2015-09-14,1001,"others",7,70.07,"sachsen-anhalt"
"384","gms",2015-07-01,2015-07-01,2015-07-01,1008,"cdu",35,352.8,"sachsen-anhalt"
"385","gms",2015-07-01,2015-07-01,2015-07-01,1008,"spd",21,211.68,"sachsen-anhalt"
"386","gms",2015-07-01,2015-07-01,2015-07-01,1008,"greens",6,60.48,"sachsen-anhalt"
"387","gms",2015-07-01,2015-07-01,2015-07-01,1008,"fdp",4,40.32,"sachsen-anhalt"
"388","gms",2015-07-01,2015-07-01,2015-07-01,1008,"left",21,211.68,"sachsen-anhalt"
"389","gms",2015-07-01,2015-07-01,2015-07-01,1008,"afd",6,60.48,"sachsen-anhalt"
"390","gms",2015-07-01,2015-07-01,2015-07-01,1008,"others",7,70.56,"sachsen-anhalt"
"391","infratestdimap",2013-08-20,2013-08-20,2013-08-20,1000,"cdu",39,390,"sachsen-anhalt"
"392","infratestdimap",2013-08-20,2013-08-20,2013-08-20,1000,"spd",21,210,"sachsen-anhalt"
"393","infratestdimap",2013-08-20,2013-08-20,2013-08-20,1000,"greens",7,70,"sachsen-anhalt"
